"","CFSAUID","DGUID","PRUID","PRNAME","LANDAREA","geometry","coord"
"31","A2H","2021A0011A2H","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador",1494.7447,c(8580213.16574914, 2072874.90864894),c(-57.7962855079776, 48.9165548023536)
"32","A2N","2021A0011A2N","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador",49.5011,c(8551473.0272775, 2008900.47788351),c(-58.5719813286109, 48.5509879573662)
"33","A2V","2021A0011A2V","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador",34.1095,c(7810756.34114307, 2186092.31442186),c(-66.936857818907, 52.9591155838342)
"34","A5A","2021A0011A5A","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador",855.5309,c(8886151.47394754, 2172728.64383737),c(-53.5825992413688, 48.1922215794614)
"35","A8A","2021A0011A8A","10","Newfoundland and Labrador / Terre-Neuve-et-Labrador",4645.6008,c(8579308.60354218, 2109732.850526),c(-57.5486040940292, 49.2054626776448)
"36","B0C","2021A0011B0C","12","Nova Scotia / Nouvelle-Écosse",1603.8466,c(8525651.88831974, 1758885.28813453),c(-60.4809627643567, 46.7098601559327)
"37","B0E","2021A0011B0E","12","Nova Scotia / Nouvelle-Écosse",5995.6604,c(8522691.85528884, 1672112.08955764),c(-61.038634941435, 46.0406122015061)
"38","B0H","2021A0011B0H","12","Nova Scotia / Nouvelle-Écosse",2614.0401,c(8534827.4459577, 1580776.18436257),c(-61.4376612804684, 45.2727026091857)
"39","B0J","2021A0011B0J","12","Nova Scotia / Nouvelle-Écosse",5165.7381,c(8436384.53070259, 1473327.95653916),c(-63.1368133816708, 44.8136509081391)
"40","B0K","2021A0011B0K","12","Nova Scotia / Nouvelle-Écosse",3452.0117,c(8402868.35309692, 1569295.38012594),c(-62.9882300501233, 45.7075953098274)
"41","B0L","2021A0011B0L","12","Nova Scotia / Nouvelle-Écosse",215.4799,c(8306644.44134926, 1527787.76569619),c(-64.3149695830612, 45.7413812802702)
"42","B0M","2021A0011B0M","12","Nova Scotia / Nouvelle-Écosse",4101.9623,c(8330607.67972989, 1508452.38457674),c(-64.1431247180241, 45.4963656625916)
"43","B0N","2021A0011B0N","12","Nova Scotia / Nouvelle-Écosse",4851.283,c(8395786.86114236, 1489303.86014243),c(-63.5059990498226, 45.0966754529026)
"44","B0P","2021A0011B0P","12","Nova Scotia / Nouvelle-Écosse",1789.892,c(8317411.8096429, 1447560.03008837),c(-64.6132881696421, 45.0556645514689)
"45","B0R","2021A0011B0R","12","Nova Scotia / Nouvelle-Écosse",1105.3853,c(8332020.83705414, 1394576.45506881),c(-64.7210391304158, 44.5760928061143)
"46","B0S","2021A0011B0S","12","Nova Scotia / Nouvelle-Écosse",2829.946,c(8283818.50779665, 1386286.59544688),c(-65.3066844125554, 44.6837066608612)
"47","B0T","2021A0011B0T","12","Nova Scotia / Nouvelle-Écosse",3963.5831,c(8330301.29780765, 1322859.32682126),c(-65.1021953186645, 44.0060676012186)
"48","B0V","2021A0011B0V","12","Nova Scotia / Nouvelle-Écosse",291.8703,c(8236000.16821404, 1338322.91071686),c(-66.0847881143489, 44.4644822964005)
"49","B0W","2021A0011B0W","12","Nova Scotia / Nouvelle-Écosse",4328.5247,c(8282332.08700877, 1292451.48364098),c(-65.7865946812806, 43.9315781953497)
"50","B1A","2021A0011B1A","12","Nova Scotia / Nouvelle-Écosse",30.7175,c(8590937.91262764, 1729060.54755395),c(-59.9255951848329, 46.1991118825259)
"51","B1B","2021A0011B1B","12","Nova Scotia / Nouvelle-Écosse",155.8567,c(8598995.08979052, 1723466.24178893),c(-59.8697403395041, 46.1210247747349)
"52","B1C","2021A0011B1C","12","Nova Scotia / Nouvelle-Écosse",237.7669,c(8605523.59832882, 1705914.01115581),c(-59.9046610633836, 45.9564159877389)
"53","B1E","2021A0011B1E","12","Nova Scotia / Nouvelle-Écosse",5.0542,c(8585493.84185, 1724196.59971791),c(-60.0166467658717, 46.1844578030454)
"54","B1G","2021A0011B1G","12","Nova Scotia / Nouvelle-Écosse",6.2855,c(8583598.58137615, 1727783.70685346),c(-60.0158845427256, 46.2205273860319)
